Kanton,Gemeinde,Spezialfall_de,Spezialfall_a,Spezialfall_Name
Fribourg / Freiburg,Alterswil,d'Alterswil,,
Fribourg / Freiburg,Arconciel,d'Arconciel,,
Fribourg / Freiburg,Attalens,d'Attalens,,
Fribourg / Freiburg,Auboranges,d'Auboranges,,
Fribourg / Freiburg,Autigny,d'Autigny,,
Fribourg / Freiburg,Avry,d'Avry,,
Fribourg / Freiburg,Bas-Intyamon,,,
Fribourg / Freiburg,Belfaux,,,
Fribourg / Freiburg,Belmont-Broye,,,
Fribourg / Freiburg,Billens-Hennens,,,
Fribourg / Freiburg,Bösingen,,,
Fribourg / Freiburg,Bossonnens,,,
Fribourg / Freiburg,Botterens,,,
Fribourg / Freiburg,Broc,,,
Fribourg / Freiburg,Brünisried,,,
Fribourg / Freiburg,Bulle,,,
Fribourg / Freiburg,Chapelle (Glâne),,,
Fribourg / Freiburg,Châtel-Saint-Denis,,,
Fribourg / Freiburg,Châtel-sur-Montsalvens,,,
Fribourg / Freiburg,Châtillon (FR),,,
Fribourg / Freiburg,Châtonnaye,,,
Fribourg / Freiburg,Cheiry,,,
Fribourg / Freiburg,Chénens,,,
Fribourg / Freiburg,Cheyres-Châbles,,,
Fribourg / Freiburg,Corbières,,,
Fribourg / Freiburg,Corminboeuf,,,
Fribourg / Freiburg,Corserey,,,
Fribourg / Freiburg,Cottens (FR),,,
Fribourg / Freiburg,Courgevaux,,,
Fribourg / Freiburg,Courtepin,,,
Fribourg / Freiburg,Cressier (FR),,,
Fribourg / Freiburg,Crésuz,,,
Fribourg / Freiburg,Cugy (FR),,,
Fribourg / Freiburg,Delley-Portalban,,,
Fribourg / Freiburg,Düdingen,,,Guin
Fribourg / Freiburg,Echarlens,d'Echarlens (FR),,
Fribourg / Freiburg,Ecublens (FR),d'Ecublens (FR),,
Fribourg / Freiburg,Ependes (FR),d'Ependes (FR),,
Fribourg / Freiburg,Estavayer,d'Estavayer-le-Lac,,
Fribourg / Freiburg,Ferpicloz,,,
Fribourg / Freiburg,Fétigny,,,
Fribourg / Freiburg,Fräschels,,,
Fribourg / Freiburg,Fribourg,,,
Fribourg / Freiburg,Galmiz,,,
Fribourg / Freiburg,Gempenach,,,
Fribourg / Freiburg,Gibloux,,,
Fribourg / Freiburg,Giffers,,,
Fribourg / Freiburg,Givisiez,,,
Fribourg / Freiburg,Gletterens,,,
Fribourg / Freiburg,Grandvillard,,,
Fribourg / Freiburg,Granges (Veveyse),,,
Fribourg / Freiburg,Granges-Paccot,,,
Fribourg / Freiburg,Grangettes,,,
Fribourg / Freiburg,Greng,,,
Fribourg / Freiburg,Grolley,,,
Fribourg / Freiburg,Gruyères,,,
Fribourg / Freiburg,Gurmels,,,
Fribourg / Freiburg,Haut-Intyamon,,,
Fribourg / Freiburg,Hauterive (FR),,,
Fribourg / Freiburg,Hauteville,,,
Fribourg / Freiburg,Heitenried,,,
Fribourg / Freiburg,Jaun,,,
Fribourg / Freiburg,Kerzers,,,Chiètres
Fribourg / Freiburg,Kleinbösingen,,,
Fribourg / Freiburg,La Brillaz,,,
Fribourg / Freiburg,La Folliaz,,,
Fribourg / Freiburg,La Roche,,,
Fribourg / Freiburg,La Sonnaz,,,
Fribourg / Freiburg,La Verrerie,,,
Fribourg / Freiburg,Le Châtelard,??,,
Fribourg / Freiburg,Le Flon,du Flon,au Flon,
Fribourg / Freiburg,Le Mouret,du Mouret,au Mouret,
Fribourg / Freiburg,Le Pâquier (FR),du Pâquier (FR),au Pâquier (FR),
Fribourg / Freiburg,Les Montets,des Montets,aux Montets,
Fribourg / Freiburg,Lully (FR),,,
Fribourg / Freiburg,Marly,,,
Fribourg / Freiburg,Marsens,,,
Fribourg / Freiburg,Massonnens,,,
Fribourg / Freiburg,Matran,,,
Fribourg / Freiburg,Ménières,,,
Fribourg / Freiburg,Meyriez,,,
Fribourg / Freiburg,Mézières (FR),,,
Fribourg / Freiburg,Misery-Courtion,,,
Fribourg / Freiburg,Mont-Vully,,,
Fribourg / Freiburg,Montagny (FR),,,
Fribourg / Freiburg,Montet (Glâne),,,
Fribourg / Freiburg,Morlon,,,
Fribourg / Freiburg,Muntelier,,,
Fribourg / Freiburg,Murten,,,Morat
Fribourg / Freiburg,Neyruz (FR),,,
Fribourg / Freiburg,Noréaz,,,
Fribourg / Freiburg,Nuvilly,,,
Fribourg / Freiburg,Pierrafortscha,,,
Fribourg / Freiburg,Plaffeien,,,
Fribourg / Freiburg,Plasselb,,,
Fribourg / Freiburg,Pont-en-Ogoz,,,
Fribourg / Freiburg,Pont-la-Ville,,,
Fribourg / Freiburg,Ponthaux,,,
Fribourg / Freiburg,Prévondavaux,,,
Fribourg / Freiburg,Prez-vers-Noréaz,,,
Fribourg / Freiburg,Rechthalten,,,
Fribourg / Freiburg,Remaufens,,,
Fribourg / Freiburg,Riaz,,,
Fribourg / Freiburg,Ried bei Kerzers,,,
Fribourg / Freiburg,Romont (FR),,,
Fribourg / Freiburg,Rue,,,
Fribourg / Freiburg,Saint-Aubin (FR),,,
Fribourg / Freiburg,Saint-Martin (FR),,,
Fribourg / Freiburg,Sâles,,,
Fribourg / Freiburg,Schmitten (FR),,,
Fribourg / Freiburg,Semsales,,,
Fribourg / Freiburg,Senèdes,,,
Fribourg / Freiburg,Sévaz,,,
Fribourg / Freiburg,Siviriez,,,
Fribourg / Freiburg,Sorens,,,
Fribourg / Freiburg,St. Antoni,,,
Fribourg / Freiburg,St. Silvester,,,
Fribourg / Freiburg,St. Ursen,,,
Fribourg / Freiburg,Surpierre,,,
Fribourg / Freiburg,Tafers,,,Tavel
Fribourg / Freiburg,Tentlingen,,,
Fribourg / Freiburg,Torny,,,
Fribourg / Freiburg,Treyvaux,,,
Fribourg / Freiburg,Ueberstorf,,,
Fribourg / Freiburg,Ulmiz,,,
Fribourg / Freiburg,Ursy,,,
Fribourg / Freiburg,Val-de-Charmey,,,
Fribourg / Freiburg,Vallon,,,
Fribourg / Freiburg,Vaulruz,,,
Fribourg / Freiburg,Villars-sur-Glâne,,,
Fribourg / Freiburg,Villarsel-sur-Marly,,,
Fribourg / Freiburg,Villaz-Saint-Pierre,,,
Fribourg / Freiburg,Villorsonnens,,,
Fribourg / Freiburg,Vuadens,,,
Fribourg / Freiburg,Vuisternens-devant-Romont,,,
Fribourg / Freiburg,Wünnewil-Flamatt,,,
Genève,Aire-la-Ville,d'Aire-la-Ville,,
Genève,Anières,d'Anières,,
Genève,Avully,d'Avully,,
Genève,Avusy,d'Avusy,,
Genève,Bardonnex,,,
Genève,Bellevue,,,
Genève,Bernex,,,
Genève,Carouge (GE),,,
Genève,Cartigny,,,
Genève,Céligny,,,
Genève,Chancy,,,
Genève,Chêne-Bougeries,,,
Genève,Chêne-Bourg,,,
Genève,Choulex,,,
Genève,Collex-Bossy,,,
Genève,Collonge-Bellerive,,,
Genève,Cologny,,,
Genève,Confignon,,,
Genève,Corsier (GE),,,
Genève,Dardagny,,,
Genève,Genève,,,
Genève,Genthod,,,
Genève,Gy,,,
Genève,Hermance,d'Hermance,,
Genève,Jussy,,,
Genève,Laconnex,,,
Genève,Lancy,,,
Genève,Le Grand-Saconnex,du Grand-Saconnex,au Grand-Saconnex,
Genève,Meinier,,,
Genève,Meyrin,,,
Genève,Onex,,,
Genève,Perly-Certoux,,,
Genève,Plan-les-Ouates,,,
Genève,Pregny-Chambésy,,,
Genève,Presinge,,,
Genève,Puplinge,,,
Genève,Russin,,,
Genève,Satigny,,,
Genève,Soral,,,
Genève,Thônex,,,
Genève,Troinex,,,
Genève,Vandoeuvres,,,
Genève,Vernier,,,
Genève,Versoix,,,
Genève,Veyrier,,,
Jura,Alle,d'Alle,,
Jura,Basse-Allaine,,,
Jura,Beurnevésin,,,
Jura,Boécourt,,,
Jura,Boncourt,,,
Jura,Bonfol,,,
Jura,Bourrignon,,,
Jura,Bure,,,
Jura,Châtillon (JU),,,
Jura,Clos du Doubs,,,
Jura,Coeuve,,,
Jura,Cornol,,,
Jura,Courchapoix,,,
Jura,Courchavon,,,
Jura,Courgenay,,,
Jura,Courrendlin,,,
Jura,Courroux,,,
Jura,Courtedoux,,,
Jura,Courtételle,,,
Jura,Damphreux,,,
Jura,Delémont,,,
Jura,Develier,,,
Jura,Ederswiler,d'Ederswiler,,
Jura,Fahy,,,
Jura,Fontenais,,,
Jura,Grandfontaine,,,
Jura,Haute-Ajoie,,,
Jura,Haute-Sorne,,,
Jura,La Baroche,,,
Jura,La Chaux-des-Breuleux,,,
Jura,Lajoux (JU),,,
Jura,Le Bémont (JU),du Bémont (JU),au Bémont (JU),
Jura,Le Noirmont,du Noirmont,au Noirmont,
Jura,Les Bois,des Bois,aux Bois,
Jura,Les Breuleux,des Breuleux,aux Breuleux,
Jura,Les Enfers,des Enfers,aux Enfers,
Jura,Les Genevez (JU),des Genevez (JU),aux Genevez (JU),
Jura,Lugnez,,,
Jura,Mervelier,,,
Jura,Mettembert,,,
Jura,Montfaucon,,,
Jura,Movelier,,,
Jura,Muriaux,,,
Jura,Pleigne,,,
Jura,Porrentruy,,,
Jura,Rebeuvelier,,,
Jura,Rossemaison,,,
Jura,Saignelégier,,,
Jura,Saint-Brais,,,
Jura,Saulcy,,,
Jura,Soubey,,,
Jura,Soyhières,,,
Jura,Val Terbi,,,
Jura,Vellerat,,,
Jura,Vendlincourt,,,
Neuchâtel,Boudry,,,
Neuchâtel,Brot-Plamboz,,,
Neuchâtel,Corcelles-Cormondrèche,,,
Neuchâtel,Cornaux,,,
Neuchâtel,Cortaillod,,,
Neuchâtel,Cressier (NE),,,
Neuchâtel,Enges,,,
Neuchâtel,Hauterive (NE),,,
Neuchâtel,La Brévine,,,
Neuchâtel,La Chaux-de-Fonds,,,
Neuchâtel,La Chaux-du-Milieu,,,
Neuchâtel,La Côte-aux-Fées,,,
Neuchâtel,La Grande Béroche,,,
Neuchâtel,La Sagne,,,
Neuchâtel,La Tène,,,
Neuchâtel,Le Cerneux-Péquignot,du Cerneux-Péquignot,au Cerneux-Péquignot,
Neuchâtel,Le Landeron,du Landeron,au Landeron,
Neuchâtel,Le Locle,du Locle,au Locle,
Neuchâtel,Les Brenets,des Brenets,aux Brenets,
Neuchâtel,Les Planchettes,des Planchettes,aux Planchettes,
Neuchâtel,Les Ponts-de-Martel,des Ponts-de-Martel,aux Ponts-de-Martels,
Neuchâtel,Les Verrières,des Verrières,aux Verrières,
Neuchâtel,Lignières,,,
Neuchâtel,Milvignes,,,
Neuchâtel,Neuchâtel,,,
Neuchâtel,Peseux,,,
Neuchâtel,Rochefort,,,
Neuchâtel,Saint-Blaise,,,
Neuchâtel,Val-de-Ruz,,,
Neuchâtel,Val-de-Travers,,,
Neuchâtel,Valangin,,,
Valais / Wallis,Agarn,d'Agarn,,
Valais / Wallis,Albinen,d'Albinen,,
Valais / Wallis,Anniviers,d'Anniviers,,
Valais / Wallis,Arbaz,d'Arbaz,,
Valais / Wallis,Ardon,d'Ardon,,
Valais / Wallis,Ausserberg,d'Ausserberg,,
Valais / Wallis,Ayent,d'Ayent,,
Valais / Wallis,Bagnes,,,
Valais / Wallis,Baltschieder,,,
Valais / Wallis,Bellwald,,,
Valais / Wallis,Bettmeralp,,,
Valais / Wallis,Binn,,,
Valais / Wallis,Bister,,,
Valais / Wallis,Bitsch,,,
Valais / Wallis,Blatten,,,
Valais / Wallis,Bourg-Saint-Pierre,,,
Valais / Wallis,Bovernier,,,
Valais / Wallis,Brig-Glis,,,
Valais / Wallis,Bürchen,,,
Valais / Wallis,Chalais,,,
Valais / Wallis,Chamoson,,,
Valais / Wallis,Champéry,,,
Valais / Wallis,Charrat,,,
Valais / Wallis,Chippis,,,
Valais / Wallis,Collombey-Muraz,,,
Valais / Wallis,Collonges,,,
Valais / Wallis,Conthey,,,
Valais / Wallis,Crans-Montana,,,
Valais / Wallis,Dorénaz,,,
Valais / Wallis,Eggerberg,d'Eggerberg,,
Valais / Wallis,Eischoll,d'Eischoll,,
Valais / Wallis,Eisten,d'Eisten,,
Valais / Wallis,Embd,d'Embd,,
Valais / Wallis,Ergisch,d'Ergisch,,
Valais / Wallis,Ernen,d'Ernen,,
Valais / Wallis,Evionnaz,d'Evionnaz,,
Valais / Wallis,Evolène,d'Evolène,,
Valais / Wallis,Ferden,,,
Valais / Wallis,Fiesch,,,
Valais / Wallis,Fieschertal,,,
Valais / Wallis,Finhaut,,,
Valais / Wallis,Fully,,,
Valais / Wallis,Gampel-Bratsch,,,
Valais / Wallis,Goms,,,
Valais / Wallis,Grächen,,,
Valais / Wallis,Grengiols,,,
Valais / Wallis,Grimisuat,,,
Valais / Wallis,Grône,,,
Valais / Wallis,Guttet-Feschel,,,
Valais / Wallis,Hérémence,d'Hérémence,,
Valais / Wallis,Icogne,d'Icogne,,
Valais / Wallis,Inden,d'Inden,,
Valais / Wallis,Isérables,d'Isérables,,
Valais / Wallis,Kippel,,,
Valais / Wallis,Lalden,,,
Valais / Wallis,Lax,,,
Valais / Wallis,Lens,,,
Valais / Wallis,Leuk,,,Loèche
Valais / Wallis,Leukerbad,,,Loèche-les-Bains
Valais / Wallis,Leytron,,,
Valais / Wallis,Liddes,,,
Valais / Wallis,Martigny,,,
Valais / Wallis,Martigny-Combe,,,
Valais / Wallis,Massongex,,,
Valais / Wallis,Miège,,,
Valais / Wallis,Mont-Noble,,,
Valais / Wallis,Monthey,,,
Valais / Wallis,Mörel-Filet,,,
Valais / Wallis,Naters,,,
Valais / Wallis,Nendaz,,,
Valais / Wallis,Niedergesteln,,,
Valais / Wallis,Oberems,d'Oberems,,
Valais / Wallis,Obergoms,d'Obergoms,,
Valais / Wallis,Orsières,d'Orsières,,
Valais / Wallis,Port-Valais,,,
Valais / Wallis,Randa,,,
Valais / Wallis,Raron,,,Rarogne
Valais / Wallis,Riddes,,,
Valais / Wallis,Ried-Brig,,,
Valais / Wallis,Riederalp,,,
Valais / Wallis,Saas-Almagell,,,
Valais / Wallis,Saas-Balen,,,
Valais / Wallis,Saas-Fee,,,
Valais / Wallis,Saas-Grund,,,
Valais / Wallis,Saillon,,,
Valais / Wallis,Saint-Gingolph,,,
Valais / Wallis,Saint-Léonard,,,
Valais / Wallis,Saint-Martin (VS),,,
Valais / Wallis,Saint-Maurice,,,
Valais / Wallis,Salgesch,,,
Valais / Wallis,Salvan,,,
Valais / Wallis,Savièse,,,
Valais / Wallis,Saxon,,,
Valais / Wallis,Sembrancher,,,
Valais / Wallis,Sierre,,,
Valais / Wallis,Simplon,,,
Valais / Wallis,Sion,,,
Valais / Wallis,St. Niklaus,,,
Valais / Wallis,Stalden (VS),,,
Valais / Wallis,Staldenried,,,
Valais / Wallis,Steg-Hohtenn,,,
Valais / Wallis,Täsch,,,
Valais / Wallis,Termen,,,
Valais / Wallis,Törbel,,,
Valais / Wallis,Trient,,,
Valais / Wallis,Troistorrents,,,
Valais / Wallis,Turtmann-Unterems,,,
Valais / Wallis,Unterbäch,,,
Valais / Wallis,Val-d'Illiez,,,
Valais / Wallis,Varen,,,
Valais / Wallis,Venthône,,,
Valais / Wallis,Vernayaz,,,
Valais / Wallis,Vérossaz,,,
Valais / Wallis,Vétroz,,,
Valais / Wallis,Vex,,,
Valais / Wallis,Veyras,,,
Valais / Wallis,Veysonnaz,,,
Valais / Wallis,Vionnaz,,,
Valais / Wallis,Visp,,,Viège
Valais / Wallis,Visperterminen,,,
Valais / Wallis,Vollèges,,,
Valais / Wallis,Vouvry,,,
Valais / Wallis,Wiler (Lötschen),,,
Valais / Wallis,Zeneggen,,,
Valais / Wallis,Zermatt,,,
Valais / Wallis,Zwischbergen,,,
Vaud,Aclens,d'Aclens,,
Vaud,Agiez,d'Agiez,,
Vaud,Aigle,d'Aigle,,
Vaud,Allaman,d'Allaman,,
Vaud,Apples,d'Apples,,
Vaud,Arnex-sur-Nyon,d'Arnex-sur-Nyon,,
Vaud,Arnex-sur-Orbe,d'Arnex-sur-Orbe,,
Vaud,Arzier-Le Muids,d'Arzier-Le Muids,,
Vaud,Assens,d'Assens,,
Vaud,Aubonne,d'Aubonne,,
Vaud,Avenches,d'Avenches,,
Vaud,Ballaigues,,,
Vaud,Ballens,,,
Vaud,Bassins,,,
Vaud,Baulmes,,,
Vaud,Bavois,,,
Vaud,Begnins,,,
Vaud,Belmont-sur-Lausanne,,,
Vaud,Belmont-sur-Yverdon,,,
Vaud,Bercher,,,
Vaud,Berolle,,,
Vaud,Bettens,,,
Vaud,Bex,,,
Vaud,Bière,,,
Vaud,Bioley-Magnoux,,,
Vaud,Bioley-Orjulaz,,,
Vaud,Blonay,,,
Vaud,Bofflens,,,
Vaud,Bogis-Bossey,,,
Vaud,Bonvillars,,,
Vaud,Borex,,,
Vaud,Bottens,,,
Vaud,Bougy-Villars,,,
Vaud,Boulens,,,
Vaud,Bourg-en-Lavaux,,,
Vaud,Bournens,,,
Vaud,Boussens,,,
Vaud,Bremblens,,,
Vaud,Bretigny-sur-Morrens,,,
Vaud,Bretonnières,,,
Vaud,Buchillon,,,
Vaud,Bullet,,,
Vaud,Bursinel,,,
Vaud,Bursins,,,
Vaud,Burtigny,,,
Vaud,Bussigny,,,
Vaud,Bussy-Chardonney,,,
Vaud,Bussy-sur-Moudon,,,
Vaud,Chamblon,,,
Vaud,Champagne,,,
Vaud,Champtauroz,,,
Vaud,Champvent,,,
Vaud,Chardonne,,,
Vaud,Château-d'Oex,,,
Vaud,Chavannes-de-Bogis,,,
Vaud,Chavannes-des-Bois,,,
Vaud,Chavannes-le-Chêne,,,
Vaud,Chavannes-le-Veyron,,,
Vaud,Chavannes-près-Renens,,,
Vaud,Chavannes-sur-Moudon,,,
Vaud,Chavornay,,,
Vaud,Chêne-Pâquier,,,
Vaud,Cheseaux-Noréaz,,,
Vaud,Cheseaux-sur-Lausanne,,,
Vaud,Chéserex,,,
Vaud,Chessel,,,
Vaud,Chevilly,,,
Vaud,Chevroux,,,
Vaud,Chexbres,,,
Vaud,Chigny,,,
Vaud,Clarmont,,,
Vaud,Coinsins,,,
Vaud,Commugny,,,
Vaud,Concise,,,
Vaud,Coppet,,,
Vaud,Corbeyrier,,,
Vaud,Corcelles-le-Jorat,,,
Vaud,Corcelles-près-Concise,,,
Vaud,Corcelles-près-Payerne,,,
Vaud,Corseaux,,,
Vaud,Corsier-sur-Vevey,,,
Vaud,Cossonay,,,
Vaud,Cottens (VD),,,
Vaud,Crans-près-Céligny,,,
Vaud,Crassier,,,
Vaud,Crissier,,,
Vaud,Cronay,,,
Vaud,Croy,,,
Vaud,Cuarnens,,,
Vaud,Cuarny,,,
Vaud,Cudrefin,,,
Vaud,Cugy (VD),,,
Vaud,Curtilles,,,
Vaud,Daillens,,,
Vaud,Démoret,,,
Vaud,Denens,,,
Vaud,Denges,,,
Vaud,Dizy,,,
Vaud,Dompierre (VD),,,
Vaud,Donneloye,,,
Vaud,Duillier,,,
Vaud,Dully,,,
Vaud,Echallens,d'Echallens,,
Vaud,Echandens,d'Echandens,,
Vaud,Echichens,d'Echichens,,
Vaud,Eclépens,d'Eclépens,,
Vaud,Ecublens (VD),d'Ecublens (VD),,
Vaud,Epalinges,d'Epalinges,,
Vaud,Ependes (VD),d'Ependes (VD),,
Vaud,Essertes,d'Essertes,,
Vaud,Essertines-sur-Rolle,d'Essertines-sur-Rolle,,
Vaud,Essertines-sur-Yverdon,d'Essertines-sur-Yverdon,,
Vaud,Etagnières,d'Etagnières,,
Vaud,Etoy,d'Etoy,,
Vaud,Eysins,d'Eysins,,
Vaud,Faoug,,,
Vaud,Féchy,,,
Vaud,Ferreyres,,,
Vaud,Fey,,,
Vaud,Fiez,,,
Vaud,Fontaines-sur-Grandson,,,
Vaud,Forel (Lavaux),,,
Vaud,Founex,,,
Vaud,Froideville,,,
Vaud,Genolier,,,
Vaud,Giez,,,
Vaud,Gilly,,,
Vaud,Gimel,,,
Vaud,Gingins,,,
Vaud,Givrins,,,
Vaud,Gland,,,
Vaud,Gollion,,,
Vaud,Goumoëns,,,
Vaud,Grancy,,,
Vaud,Grandcour,,,
Vaud,Grandevent,,,
Vaud,Grandson,,,
Vaud,Grens,,,
Vaud,Gryon,,,
Vaud,Henniez,d'Henniez,,
Vaud,Hermenches,d'Hermenches,,
Vaud,Jongny,,,
Vaud,Jorat-Menthue,,,
Vaud,Jorat-Mézières,,,
Vaud,Jouxtens-Mézery,,,
Vaud,Juriens,,,
Vaud,L'Abbaye,,,
Vaud,L'Abergement,,,
Vaud,L'Isle,,,
Vaud,La Chaux (Cossonay),,,
Vaud,La Praz,,,
Vaud,La Rippe,,,
Vaud,La Sarraz,,,
Vaud,La Tour-de-Peilz,,,
Vaud,Lausanne,,,
Vaud,Lavey-Morcles,,,
Vaud,Lavigny,,,
Vaud,Le Chenit,du Chenit,au Chenit,
Vaud,Le Lieu,du Lieu,au Lieu,
Vaud,Le Mont-sur-Lausanne,du Mont-sur-Lausanne,au Mont-sur-Lausanne,
Vaud,Le Vaud,du Vaud,au Vaud,
Vaud,Les Clées,des Clées,aux Clées,
Vaud,Leysin,,,
Vaud,Lignerolle,,,
Vaud,Lonay,,,
Vaud,Longirod,,,
Vaud,Lovatens,,,
Vaud,Lucens,,,
Vaud,Luins,,,
Vaud,Lully (VD),,,
Vaud,Lussery-Villars,,,
Vaud,Lussy-sur-Morges,,,
Vaud,Lutry,,,
Vaud,Maracon,,,
Vaud,Marchissy,,,
Vaud,Mathod,,,
Vaud,Mauborget,,,
Vaud,Mauraz,,,
Vaud,Mex (VD),,,
Vaud,Mies,,,
Vaud,Missy,,,
Vaud,Moiry,,,
Vaud,Mollens (VD),,,
Vaud,Molondin,,,
Vaud,Mont-la-Ville,,,
Vaud,Mont-sur-Rolle,,,
Vaud,Montagny-près-Yverdon,,,
Vaud,Montanaire,,,
Vaud,Montcherand,,,
Vaud,Montherod,,,
Vaud,Montilliez,,,
Vaud,Montpreveyres,,,
Vaud,Montreux,,,
Vaud,Montricher,,,
Vaud,Morges,,,
Vaud,Morrens (VD),,,
Vaud,Moudon,,,
Vaud,Mutrux,,,
Vaud,Novalles,,,
Vaud,Noville,,,
Vaud,Nyon,,,
Vaud,Ogens,d'Ogens,,
Vaud,Ollon,d'Ollons,,
Vaud,Onnens (VD),d'Onnens,,
Vaud,Oppens,d'Oppens,,
Vaud,Orbe,d'Orbe,,
Vaud,Orges,d'Orges,,
Vaud,Ormont-Dessous,d'Ormont-Dessous,,
Vaud,Ormont-Dessus,d'Ormont-Dessus,,
Vaud,Orny,d'Orny,,
Vaud,Oron,d'Oron,,
Vaud,Orzens,d'Orzens,,
Vaud,Oulens-sous-Echallens,d'Oulens-sous-Echallens,,
Vaud,Pailly,,,
Vaud,Pampigny,,,
Vaud,Paudex,,,
Vaud,Payerne,,,
Vaud,Penthalaz,,,
Vaud,Penthaz,,,
Vaud,Penthéréaz,,,
Vaud,Perroy,,,
Vaud,Poliez-Pittet,,,
Vaud,Pompaples,,,
Vaud,Pomy,,,
Vaud,Prangins,,,
Vaud,Premier,,,
Vaud,Préverenges,,,
Vaud,Prévonloup,,,
Vaud,Prilly,,,
Vaud,Provence,,,
Vaud,Puidoux,,,
Vaud,Pully,,,
Vaud,Rances,,,
Vaud,Renens (VD),,,
Vaud,Rennaz,,,
Vaud,Reverolle,,,
Vaud,Rivaz,,,
Vaud,Roche (VD),,,
Vaud,Rolle,,,
Vaud,Romainmôtier-Envy,,,
Vaud,Romanel-sur-Lausanne,,,
Vaud,Romanel-sur-Morges,,,
Vaud,Ropraz,,,
Vaud,Rossenges,,,
Vaud,Rossinière,,,
Vaud,Rougemont,,,
Vaud,Rovray,,,
Vaud,Rueyres,,,
Vaud,Saint-Barthélemy (VD),,,
Vaud,Saint-Cergue,,,
Vaud,Saint-George,,,
Vaud,Saint-Légier-La Chiésaz,,,
Vaud,Saint-Livres,,,
Vaud,Saint-Oyens,,,
Vaud,Saint-Prex,,,
Vaud,Saint-Saphorin (Lavaux),,,
Vaud,Saint-Sulpice (VD),,,
Vaud,Sainte-Croix,,,
Vaud,Saubraz,,,
Vaud,Savigny,,,
Vaud,Senarclens,,,
Vaud,Sergey,,,
Vaud,Servion,,,
Vaud,Sévery,,,
Vaud,Signy-Avenex,,,
Vaud,Suchy,,,
Vaud,Sullens,,,
Vaud,Suscévaz,,,
Vaud,Syens,,,
Vaud,Tannay,,,
Vaud,Tartegnin,,,
Vaud,Tévenon,,,
Vaud,Tolochenaz,,,
Vaud,Trélex,,,
Vaud,Trey,,,
Vaud,Treycovagnes,,,
Vaud,Treytorrens (Payerne),,,
Vaud,Ursins,d'Ursins,,
Vaud,Valbroye,,,
Vaud,Valeyres-sous-Montagny,,,
Vaud,Valeyres-sous-Rances,,,
Vaud,Valeyres-sous-Ursins,,,
Vaud,Vallorbe,,,
Vaud,Vaulion,,,
Vaud,Vaux-sur-Morges,,,
Vaud,Vevey,,,
Vaud,Veytaux,,,
Vaud,Vich,,,
Vaud,Villars-Epeney,,,
Vaud,Villars-le-Comte,,,
Vaud,Villars-le-Terroir,,,
Vaud,Villars-Sainte-Croix,,,
Vaud,Villars-sous-Yens,,,
Vaud,Villarzel,,,
Vaud,Villeneuve (VD),,,
Vaud,Vinzel,,,
Vaud,Vuarrens,,,
Vaud,Vucherens,,,
Vaud,Vufflens-la-Ville,,,
Vaud,Vufflens-le-Château,,,
Vaud,Vugelles-La Mothe,,,
Vaud,Vuiteboeuf,,,
Vaud,Vulliens,,,
Vaud,Vullierens,,,
Vaud,Vully-les-Lacs,,,
Vaud,Yens,,,
Vaud,Yverdon-les-Bains,d'Yverdon-les-Bains,,
Vaud,Yvonand,d'Yvonnand,,
Vaud,Yvorne,d'Yvorne,,